file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,50,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,12
styles.css,51,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,36
styles.css,52,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,7
styles.css,53,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,13
styles.css,54,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,55,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,56,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,2
styles.css,57,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,10
styles.css,58,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,59,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,60,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,2
styles.css,61,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,1,10
styles.css,62,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,63,css,be4127ca,dhrutube,2025-10-25,17:47:14,-07:00,2025-10-25T17:47:14-07:00,0,0
styles.css,64,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,9
styles.css,65,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,6
styles.css,66,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,67,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,13
styles.css,68,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,17
styles.css,69,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,13
styles.css,70,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,71,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,72,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,73,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,13
styles.css,74,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,25
styles.css,75,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,25
styles.css,76,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,77,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,43
styles.css,78,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,39
styles.css,79,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,80,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
